WT grand total,bw grand total,genotype
198,41,A
176,106,A
147,57,A
94,39,A
74,13,A
149,49,A
189,45,A
152,77,A
190,42,A
35,19,A
0,0,A
107,38,A
199,52,A
0,0,A
99,100,A
204,52,A
187,49,A
176,48,A
148,26,A
98,16,A
139,48,A
126,101,A
171,87,A
203,78,A
217,67,A
231,54,A
164,40,A
185,21,A
210,56,A
173,68,A
1,0,B
46,0,B
6,0,B
32,0,B
19,0,B
27,0,B
14,0,B
37,0,B
3,0,B
0,0,B
0,0,B
0,0,B
78,0,B
50,0,B
50,0,B
27,0,B
25,0,B
7,0,B
29,0,B
105,0,B
22,0,B
0,0,B
1,0,B
2,0,B
0,0,B
1,0,B
0,0,B
0,0,B
0,0,B
2,0,B
15,0,C
35,1,C
35,0,C
82,0,C
20,0,C
28,0,C
105,0,C
47,0,C
16,0,C
13,0,C
5,0,C
5,0,C
4,0,C
127,0,C
17,0,C
46,0,C
0,0,C
4,0,C
60,0,C
10,0,C
2,0,C
0,0,C
40,0,C
33,0,C
32,1,C
0,0,C
51,0,C
3,0,C
9,0,C
19,0,C
84,41,D
134,124,D
107,116,D
127,85,D
120,63,D
108,38,D
66,39,D
143,99,D
100,79,D
148,58,D
145,69,D
166,63,D
94,50,D
137,76,D
157,85,D
163,129,D
111,53,D
80,41,D
171,73,D
144,84,D
179,90,D
166,76,D
109,87,D
157,51,D
145,96,D
119,74,D
49,29,D
145,74,D
80,45,D
36,0,E
174,0,E
89,0,E
26,0,E
77,0,E
152,0,E
189,1,E
51,0,E
73,0,E
97,0,E
34,0,E
80,0,E
60,0,E
156,0,E
101,0,E
92,0,E
57,0,E
39,0,E
140,0,E
101,0,E
153,0,E
41,0,E
55,1,E
142,0,E
103,0,E
115,0,E
110,0,E
62,0,E
13,0,E
72,0,E
105,0,F
239,0,F
84,0,F
131,0,F
107,0,F
97,0,F
116,0,F
12,0,F
77,0,F
181,0,F
96,0,F
53,1,F
147,0,F
73,0,F
83,0,F
146,0,F
132,0,F
89,0,F
119,0,F
38,0,F
65,0,F
187,0,F
110,0,F
61,0,F
42,0,F
33,0,F
177,0,F
92,0,F
127,1,F
175,0,F
56,55,G
104,106,G
50,48,G
99,99,G
46,69,G
0,0,G
68,78,G
62,66,G
84,118,G
93,68,G
24,34,G
108,99,G
12,9,G
115,136,G
113,127,G
112,120,G
130,116,G
131,145,G
71,73,G
105,133,G
79,103,G
52,76,G
107,123,G
42,84,G
0,0,G
36,45,G
103,140,G
109,123,G
137,126,G
96,114,G
126,133,H
0,0,H
109,128,H
106,108,H
51,45,H
50,48,H
78,90,H
84,96,H
98,55,H
105,114,H
27,25,H
116,158,H
155,103,H
52,43,H
0,0,H
103,114,H
155,79,H
0,0,H
91,100,H
82,48,H
11,18,H
101,127,H
113,96,H
98,106,H
78,91,H
105,119,H
71,46,H
0,0,H
22,15,H
122,90,H
168,53,I
113,56,I
160,85,I
122,74,I
149,83,I
133,82,I
112,92,I
182,80,I
80,78,I
105,68,I
104,82,I
127,70,I
126,84,I
132,93,I
148,90,I
113,82,I
114,103,I
57,38,I
129,77,I
122,72,I
126,86,I
117,63,I
141,100,I
56,54,I
58,39,I
162,89,I
134,86,I
143,106,I
119,80,I
145,98,I
104,92,J
63,42,J
34,38,J
83,79,J
94,87,J
111,91,J
78,85,J
64,60,J
72,52,J
85,66,J
83,94,J
64,66,J
116,115,J
67,70,J
94,99,J
52,43,J
53,45,J
59,69,J
19,18,J
64,106,J
57,76,J
75,74,J
57,53,J
125,110,K
123,117,K
128,96,K
119,109,K
106,121,K
123,129,K
112,119,K
128,119,K
123,116,K
71,72,K
121,105,K
142,109,K
104,90,K
130,141,K
129,118,K
91,69,K
109,99,K
119,93,K
76,84,K
123,109,K
104,130,K
107,139,K
102,91,K
90,78,K
132,125,K
117,102,L
126,103,L
125,121,L
117,122,L
57,78,L
95,104,L
69,78,L
116,116,L
106,95,L
108,66,L
110,105,L
108,83,L
120,114,L
52,59,L
0,0,L
24,27,L
70,65,L
102,93,L
99,98,L
93,106,L
132,94,L
118,100,L
105,103,L
117,130,L
56,84,L
109,103,L
109,113,L
103,98,L
120,121,L
132,124,L
86,84,M
93,89,M
44,44,M
56,61,M
12,15,M
94,77,M
92,81,M
63,100,M
55,54,M
57,52,M
27,31,M
50,39,M
89,39,M
61,83,M
98,46,M
44,27,M
86,45,M
114,89,M
99,46,M
77,63,M
3,4,M
77,67,M
56,52,M
76,69,M
57,45,M
54,52,M
129,155,N
63,65,N
100,108,N
129,144,N
72,75,N
97,130,N
63,61,N
82,71,N
101,102,N
110,95,N
89,96,N
99,102,N
137,111,N
98,99,N
83,94,N
117,106,N
79,127,N
87,110,N
89,92,N
122,109,N
70,79,N
38,37,N
117,121,N
101,101,N
76,72,N
100,127,N
38,143,N
126,97,N
106,120,N
0,0,N
21,13,O
0,0,O
90,69,O
55,58,O
98,92,O
90,83,O
123,128,O
115,115,O
45,41,O
107,114,O
0,0,O
69,68,O
108,121,O
88,66,O
105,123,O
97,132,O
64,62,O
67,76,O
107,103,O
116,99,O
108,104,O
43,47,O
46,50,O
75,77,O
0,0,O
80,65,O
120,117,O
79,82,O
73,87,O
114,111,O
90,109,P
0,0,P
83,80,P
92,87,P
107,124,P
0,0,P
97,109,P
0,0,P
95,119,P
71,104,P
90,88,P
117,125,P
111,105,P
86,103,P
120,109,P
95,130,P
113,123,P
38,35,P
121,117,P
0,0,P
104,123,P
97,92,P
83,90,P
93,112,P
76,124,Q
58,67,Q
76,101,Q
98,101,Q
91,119,Q
128,98,Q
62,76,Q
95,87,Q
116,134,Q
103,125,Q
84,89,Q
84,120,Q
99,96,Q
124,129,Q
106,112,Q
88,95,Q
91,113,Q
92,101,Q
87,95,Q
89,118,Q
90,110,Q
99,116,Q
131,118,Q
85,97,Q
82,86,Q
52,49,Q
83,75,Q
93,105,Q
116,119,Q
102,129,Q
113,112,R
85,133,R
55,72,R
106,102,R
79,106,R
95,113,R
94,107,R
111,119,R
102,126,R
97,115,R
95,109,R
78,110,R
73,99,R
102,119,R
95,119,R
0,0,R
68,63,R
81,98,R
79,111,R
81,97,R
68,105,R
62,82,R
83,96,R
72,99,R
85,112,R
68,95,R
